"","ex01","ex02","ex03","ex04","ex05","ex06","ex07","ex08","md09","md10","md11","md12","md13","ci14","ci15","ci16","ci17","ci18","ei19","ei20","ei21","ei22","ei23","plc01","plc02","plc03","plc04","plc05","psc06","psc07","psc08","psc09","psc10"
"168",4,4,4,3,4,3,3,4,3,4,2,4,3,3,3,3,3,4,4,4,3,4,3,3,3,2,3,3,3,3,4,3,4
"169",3,4,3,2,4,3,4,4,2,2,1,2,1,4,2,4,4,2,2,2,2,3,3,3,3,2,2,2,1,1,2,3,2
"170",5,5,3,3,3,4,2,5,1,4,2,1,3,4,2,3,5,4,1,5,5,1,1,1,2,2,1,2,1,1,1,2,1
"171",3,3,2,2,3,3,2,3,2,2,2,2,2,3,2,3,3,2,2,1,2,2,2,3,4,3,2,2,1,2,2,3,2
"172",1,2,1,1,1,1,3,2,1,1,1,1,1,1,5,2,1,1,1,1,1,1,1,1,4,4,4,5,3,3,3,1,3
"173",3,3,1,1,1,3,1,1,2,1,1,1,1,3,2,3,1,3,1,2,1,1,2,1,3,2,1,1,1,1,1,1,1
"174",2,3,3,3,3,2,3,2,3,2,2,3,2,2,2,3,3,2,3,2,2,3,3,2,2,2,3,3,2,3,2,3,2
"175",3,3,1,3,3,3,4,3,3,2,1,1,1,4,3,4,3,2,2,3,2,4,2,1,4,3,2,5,1,1,3,1,2
"176",2,2,2,3,2,1,3,2,1,1,1,1,1,3,1,3,3,1,1,1,3,1,1,1,2,2,1,2,1,1,1,1,2
"177",1,3,1,2,2,3,1,2,1,1,1,1,1,1,3,4,5,3,1,1,2,1,1,1,3,3,1,3,1,1,2,3,1
"178",2,3,4,2,3,3,4,2,3,3,1,1,2,2,4,4,5,4,1,2,3,1,2,2,1,1,1,3,1,2,2,2,1
"179",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
"180",2,2,2,2,2,3,3,2,4,3,2,1,2,4,4,2,4,3,3,2,2,4,2,3,4,4,2,3,2,3,1,3,2
"181",3,3,4,3,5,3,2,4,2,4,1,3,1,4,4,5,3,3,2,1,2,2,3,3,4,4,1,4,2,1,4,4,2
"182",2,2,3,2,3,3,2,2,1,2,1,1,1,2,2,2,3,2,2,2,3,1,3,5,3,3,1,2,1,1,2,5,2
"183",4,4,3,3,3,3,3,3,3,2,3,2,2,3,4,2,4,3,1,2,3,3,1,5,3,4,3,4,2,3,3,3,2
"184",2,3,1,1,3,1,1,1,4,1,1,1,1,1,1,5,2,1,1,1,1,1,1,4,5,1,1,3,3,1,5,3,1
"185",1,4,1,2,2,1,3,2,1,1,1,1,2,1,5,2,1,1,2,1,3,2,3,1,4,3,3,2,3,3,4,4,3
"186",5,5,4,4,5,5,4,4,5,3,3,3,3,5,4,4,5,5,2,2,2,4,3,5,4,4,1,5,2,3,2,4,2
"187",5,3,3,4,5,4,3,4,5,3,3,4,3,5,3,4,5,4,3,4,4,5,4,5,5,4,4,4,3,2,2,2,2
