"","UWES_VI1","UWES_DE1","UWES_AB1","UWES_VI2","UWES_DE2","UWES_AB2","UWES_DE3","UWES_VI3","UWES_AB3","UWES_DE4","UWES_AB4","UWES_VI4","UWES_DE5","UWES_AB5","UWES_VI5","UWES_AB6","UWES_VI6"
"299",6,6,6,6,5,3,6,6,6,6,3,5,5,5,6,4,6
"300",6,5,6,6,6,6,4,7,6,6,6,6,5,6,5,6,3
"301",3,5,6,4,4,4,4,3,2,4,5,2,6,4,3,4,5
"302",5,NA,5,NA,NA,3,4,NA,6,6,NA,5,4,4,4,2,5
"303",4,4,6,4,4,6,5,5,4,5,5,5,6,4,5,6,6
"304",7,7,7,6,7,7,6,6,4,7,7,6,7,6,6,7,6
"305",4,2,7,3,3,6,2,4,3,2,6,7,2,3,6,6,7
"306",1,7,6,3,3,7,4,3,5,7,7,7,6,1,4,7,4
"307",4,4,4,5,4,3,4,4,3,5,4,4,4,6,4,5,6
"308",6,7,7,7,7,6,7,7,6,7,5,6,7,6,6,2,7
"309",5,4,6,5,5,5,4,5,4,5,5,5,5,4,6,5,6
"310",6,6,5,4,4,5,6,4,3,6,4,7,4,5,4,4,7
"311",6,6,6,7,7,6,6,6,6,7,6,7,5,6,6,4,6
"312",3,4,4,2,4,2,3,2,1,7,NA,4,5,3,3,1,7
"313",4,4,7,4,4,3,3,4,2,6,5,5,4,3,4,6,6
"314",4,7,7,6,7,5,6,7,5,7,6,6,6,6,7,4,6
"315",4,6,4,6,3,4,2,1,5,4,6,6,3,1,7,6,7
"316",2,7,7,2,2,6,7,2,5,7,4,2,7,6,7,6,6
"317",2,3,6,2,3,4,2,5,4,4,4,7,4,2,5,3,5
"318",4,6,7,5,4,5,4,6,6,5,5,7,5,4,6,3,6
"319",4,7,6,5,6,6,7,6,4,7,6,3,7,7,7,4,7
"320",4,4,5,4,4,4,4,4,4,4,3,5,6,4,6,4,4
"321",3,1,5,2,1,4,2,NA,2,2,4,4,5,1,2,5,4
"322",4,5,5,4,4,6,4,6,5,6,5,5,6,5,6,3,5
"323",3,2,5,6,3,5,3,2,6,4,5,6,3,3,6,5,5
"324",3,2,4,4,2,5,3,2,4,1,2,4,4,1,6,1,5
"325",3,3,4,2,2,3,3,3,4,4,3,3,3,3,3,2,5
"326",6,7,7,5,7,3,7,5,5,7,5,6,5,6,6,3,6
"327",4,5,6,5,6,6,6,5,6,6,5,6,5,5,4,5,6
"328",4,4,4,3,4,4,4,3,4,3,4,4,4,3,3,4,4
"329",6,7,5,6,6,5,7,6,5,7,4,5,7,6,7,4,5
"330",6,7,4,5,6,5,4,6,6,6,4,4,3,5,6,2,7
"331",4,5,6,5,6,7,7,5,6,6,6,6,6,6,NA,4,5
"332",5,5,5,5,6,4,5,6,7,7,6,4,7,4,2,1,4
"333",6,7,7,7,7,4,7,6,7,7,7,6,7,7,7,4,6
"334",5,4,6,3,5,5,2,3,3,5,6,4,6,3,4,4,5
"335",7,7,7,7,7,6,7,7,6,7,7,7,7,7,6,6,7
"336",6,6,7,6,6,6,5,6,6,7,6,6,6,7,6,6,6
"337",7,6,7,7,7,2,7,7,7,7,6,7,7,6,7,5,7
"338",6,6,6,6,7,6,6,6,7,7,6,7,7,5,6,5,7
"339",4,4,7,4,4,3,7,4,4,7,4,7,6,6,4,4,7
"340",4,6,7,6,4,5,4,2,4,5,5,4,3,4,4,4,6
"341",5,4,6,5,5,7,4,4,NA,6,7,7,6,NA,6,6,7
